,FIPS,LACCESS_POP10,LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15,County,State,2010_Census_Population,Population_Estimate_2011,Population_Estimate_2012,Population_Estimate_2013,Population_Estimate_2014,Population_Estimate_2015,Population_Estimate_2016,Population_Estimate_2017,Population_Estimate_2018,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,MEDHHINC15,POVRATE15,FFRPTH11,FFRPTH16,PCH_FFRPTH_11_16,GROCPTH11,GROCPTH16,PCH_GROCPTH_11_16
0,1001,18428.43969,17496.69304,5344.427472,6543.676824,664.2164872,677.6727692,Autauga County, Alabama,"54,571","55,208","54,936","54,713","54,876","54,838","55,242","55,443","55,601",11.4,13.0,33.0,36.3,56580.0,12.7,0.615953188,0.7959767,29.22681718,0.090581351,0.0542711,-40.0857484
1,1003,35210.81408,30561.26443,9952.144027,9886.831137,1571.779915,1394.162766,Baldwin County, Alabama,"182,265","186,540","190,143","194,886","199,189","202,995","207,712","212,619","218,022",9.8,10.4,33.0,36.3,52387.0,12.9,0.648675309,0.751774622,15.89382422,0.14474573,0.139752975,-3.449328302
2,1005,5722.305602,6069.523628,3135.676086,2948.790251,406.1423722,425.1449274,Barbour County, Alabama,"27,457","27,350","27,174","26,944","26,758","26,294","25,819","25,158","24,881",13.6,18.4,33.0,36.3,31433.0,32.0,0.694672955,0.892372158,28.45932049,0.219370407,0.155195158,-29.25428727
3,1007,1044.867327,969.378841,491.4490662,596.1628288,275.060875,224.3881246,Bibb County, Alabama,"22,915","22,747","22,664","22,516","22,541","22,562","22,576","22,555","22,400",11.1,14.8,33.0,36.3,40767.0,22.2,0.26379424,0.309282905,17.24399476,0.26379424,0.220916361,-16.25428946
4,1009,1548.175559,3724.428242,609.0277084,1650.959482,705.4667827,719.931444,Blount County, Alabama,"57,322","57,554","57,570","57,611","57,521","57,522","57,517","57,827","57,840",11.4,14.1,33.0,36.3,50487.0,14.7,0.347451444,0.39956916,15.0,0.121608005,0.086862861,-28.57142857
5,1011,4089.983548,4141.900365,2199.359828,2154.7893,272.8442583,415.8613008,Bullock County, Alabama,"10,914","10,677","10,607","10,551","10,665","10,400","10,381","10,176","10,138",14.9,19.6,33.0,36.3,28251.0,39.6,0.37470726,0.2873288,-23.31912652,0.18735363,0.2873288,53.36174696
6,1013,1307.819706,1304.328756,593.2251386,612.9347608,395.0316718,320.168301,Butler County, Alabama,"20,947","20,878","20,687","20,374","20,343","20,176","20,029","19,898","19,680",15.1,17.7,33.0,36.3,33868.0,25.8,0.814176245,0.901577761,10.73496266,0.143678161,0.15026296,4.583020285
7,1015,30901.15059,27785.98677,11909.16286,10883.20997,1252.150186,1235.289629,Calhoun County, Alabama,"118,572","117,797","117,257","116,541","115,995","115,536","115,018","114,664","114,277",14.5,14.9,33.0,36.3,42091.0,20.0,0.772594133,0.826230649,6.942392275,0.20376109,0.234823448,15.24449904
8,1017,6748.213223,7131.505717,3018.284747,3533.916216,616.6968134,730.2010667,Chambers County, Alabama,"34,215","34,030","34,104","34,143","33,980","34,007","33,771","33,758","33,615",16.1,16.4,33.0,36.3,35560.0,22.4,0.675854368,0.860100246,27.26118034,0.23507978,0.207610404,-11.68512916
9,1019,79.41023456,103.5224989,34.48386235,57.46490172,378.7374593,299.8869228,Cherokee County, Alabama,"25,989","25,994","25,963","26,025","25,902","25,739","25,776","25,815","26,032",13.6,13.3,33.0,36.3,39144.0,19.4,0.654022237,0.58216254,-10.98734767,0.153887585,0.19405418,26.10125747
