,County,State,2010_Census_Population,Population_Estimate_2011,Population_Estimate_2012,Population_Estimate_2013,Population_Estimate_2014,Population_Estimate_2015,Population_Estimate_2016,Population_Estimate_2017,Population_Estimate_2018,FIPS,PCT_LACCESS_POP10,PCT_LACCESS_POP15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,PCT_LACCESS_SNAP15,GROCPTH11,GROCPTH16,SUPERCPTH11,SUPERCPTH16,CONVSPTH11,CONVSPTH16,SNAPSPTH12,SNAPSPTH17,WICSPTH11,WICSPTH16,FFRPTH11,FFRPTH16,FSRPTH11,FSRPTH16,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12,REDEMP_SNAPS12,REDEMP_SNAPS17,PCT_SNAP12,PCT_SNAP17,PC_SNAPBEN12,PC_SNAPBEN17,SNAP_PART_RATE11,SNAP_PART_RATE16,PC_WIC_REDEMP11,PC_WIC_REDEMP16,REDEMP_WICS11,REDEMP_WICS16,PCT_WIC12,PCT_WIC17,PCT_WICINFANTCHILD14,PCT_WICINFANTCHILD16,FOOD_BANKS18,FOODINSEC_12_14,FOODINSEC_15_17,VLFOODSEC_12_14,VLFOODSEC_15_17,FMRKTPTH13,FMRKTPTH18,FOODHUB18,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,PCT_HSPA17,RECFACPTH11,RECFACPTH16,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13
0,Autauga County, Alabama,54571.0,55208.0,54936.0,54713.0,54876.0,54838.0,55242.0,55443.0,55601.0,1001.0,33.76965730033296,32.062254747184035,9.793530396131903,11.991125000212604,3.2847855556540977,3.3513316313738293,4.608749252541551,0.090581351,0.0542711,0.0181163,0.0180904,0.561604377,0.560801766,0.6740041551080207,0.8047468050350726,0.09056658297777176,0.09051084518432617,0.615953188,0.7959767,0.579720647,0.560801766,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,301432.0810690423,223185.67835820897,18.90847619188084,16.50005631061468,18.471487045288086,16.354677200317383,84.02,86.898,15.612932205200195,14.620244026184082,172391.75,161530.296875,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0.0,16.8,16.3,7.2,7.1,0.01827719248831272,0.017985288053750992,,11.4,13.0,33.0,36.3,,0.072465081,0.108542277,56580.0,12.7,0.0,18.8,0.0,1.0
1,Baldwin County, Alabama,182265.0,186540.0,190143.0,194886.0,199189.0,202995.0,207712.0,212619.0,218022.0,1003.0,19.318472596371,16.767489331327024,5.460260624349354,5.4244265969613314,2.1478271595262095,1.9051144660996444,1.2989003685463132,0.14474573,0.139752975,0.0321657,0.0337335,0.573621967,0.568650034,0.7250554711113442,0.890835951364198,0.1393802911043167,0.13480202853679657,0.648675309,0.751774622,1.15796584,1.137300069,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,274394.50366265053,157623.13356797185,18.90847619188084,16.50005631061468,15.890722274780273,11.47935962677002,84.02,86.898,17.10749626159668,13.8738374710083,122739.7109375,102920.0859375,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0.0,16.8,16.3,7.2,7.1,0.020524820312857628,0.018346771597862244,,9.8,10.4,33.0,36.3,,0.085775247,0.10120043,52387.0,12.9,0.0,19.6,0.0,1.0
2,Barbour County, Alabama,27457.0,27350.0,27174.0,26944.0,26758.0,26294.0,25819.0,25158.0,24881.0,1005.0,20.840971709557856,22.105560066973666,11.420315716122772,10.739666573274102,4.135869370614328,4.329378079092943,4.303147049779694,0.219370407,0.155195158,0.0,0.0387988,0.804358159,0.737177,1.2805901743808439,1.4246141669964385,0.2559415102005005,0.2323870062828064,0.694672955,0.892372158,0.621549486,0.543183053,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,325496.5607655502,257032.07888888888,18.90847619188084,16.50005631061468,31.116222381591797,29.122146606445312,84.02,86.898,21.934051513671875,24.032283782958984,85699.46875,103414.921875,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0.0,16.8,16.3,7.2,7.1,0.11134204268455505,0.16076524555683136,,13.6,18.4,33.0,36.3,,0.073123469,0.0,31433.0,32.0,1.0,45.2,1.0,0.0
3,Bibb County, Alabama,22915.0,22747.0,22664.0,22516.0,22541.0,22562.0,22576.0,22555.0,22400.0,1007.0,4.559752683225005,4.2303244206186426,2.1446609916586645,2.6016270076683963,3.4585800954854773,2.8214274439833398,0.6767103234591161,0.26379424,0.220916361,0.0439657,0.0441833,0.835348428,0.662749083,0.7191220073461079,0.8014234456796658,0.26377105712890625,0.22147412598133087,0.26379424,0.309282905,0.219828534,0.309282905,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,356444.032,227725.24513761466,18.90847619188084,16.50005631061468,22.435049057006836,17.557790756225586,84.02,86.898,21.48293685913086,22.081811904907227,81445.3984375,99703.796875,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0.0,16.8,16.3,7.2,7.1,0.04441286250948906,0.0446428582072258,,11.1,14.8,33.0,36.3,,0.0,0.0441833,40767.0,22.2,0.0,29.3,1.0,1.0
4,Blount County, Alabama,57322.0,57554.0,57570.0,57611.0,57521.0,57522.0,57517.0,57827.0,57840.0,1009.0,2.700840094961568,6.497380137361867,1.0624676535930184,2.8801498232112803,3.269379843993799,3.3364141441489017,0.8127274929922376,0.121608005,0.086862861,0.0173726,0.0173726,0.521177165,0.469059449,0.6571438453290908,0.6923735484575297,0.13899989426136017,0.13908931612968445,0.347451444,0.39956916,0.260588583,0.208470866,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,229730.02263157893,142860.82556016598,18.90847619188084,16.50005631061468,20.27230453491211,12.377972602844238,84.02,86.898,17.110687255859375,13.860494613647461,123098.5625,99651.7578125,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0.0,16.8,16.3,7.2,7.1,0.01735779643058777,0.017289074137806892,,11.4,14.1,33.0,36.3,,0.0521177,0.069490289,50487.0,14.7,0.0,22.2,0.0,1.0
5,Bullock County, Alabama,10914.0,10677.0,10607.0,10551.0,10665.0,10400.0,10381.0,10176.0,10138.0,1011.0,37.47465226144493,37.950342361794206,20.151730144173996,19.74335074065961,7.285560968747689,11.104440609899546,6.016622830144433,0.18735363,0.2873288,0.0,0.0,0.18735363,0.5746576,1.3684679523900452,0.9861932938856016,0.18731853365898132,0.28898951411247253,0.37470726,0.2873288,0.18735363,0.095776267,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,211588.91372093023,170993.92131147542,18.90847619188084,16.50005631061468,33.89244842529297,31.25101089477539,84.02,86.898,,,260599.375,128019.328125,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0.0,16.8,16.3,7.2,7.1,0.09477774798870087,0.09863878786563873,,14.9,19.6,33.0,36.3,,0.0,0.0,28251.0,39.6,1.0,51.2,1.0,0.0
6,Butler County, Alabama,20947.0,20878.0,20687.0,20374.0,20343.0,20176.0,20029.0,19898.0,19680.0,1013.0,6.243470213062348,6.226804584468373,2.832029114537614,2.926121930559144,4.652357458095042,3.770678377587316,1.0768789929632352,0.143678161,0.15026296,0.0478927,0.0500877,1.053639847,1.101928375,1.3419018072585809,1.256830601092896,0.19158923625946045,0.199710413813591,0.814176245,0.901577761,0.670498084,0.450788881,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,345604.8689908257,302939.2254180602,18.90847619188084,16.50005631061468,32.66789245605469,27.97814178466797,84.02,86.898,36.56119155883789,32.755916595458984,190831.140625,164017.0625,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0.0,16.8,16.3,7.2,7.1,0.09816432744264603,0.10162601619958878,,15.1,17.7,33.0,36.3,,0.0,0.0500877,33868.0,25.8,1.0,36.0,1.0,0.0
7,Calhoun County, Alabama,118572.0,117797.0,117257.0,116541.0,115995.0,115536.0,115018.0,114664.0,114277.0,1015.0,26.061085741273487,23.433851807648516,10.043823885848852,9.178566582982912,2.645518129638947,2.6098954796953793,4.080320207731614,0.20376109,0.234823448,0.0254701,0.0347887,0.738633952,0.730561837,1.1758002546264719,1.1854124538037796,0.16129443049430847,0.17388582229614258,0.772594133,0.826230649,0.662223543,0.652287354,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,315617.50259818736,235151.7624264706,18.90847619188084,16.50005631061468,29.975231170654297,22.04634666442871,84.02,86.898,22.09410285949707,20.889013290405273,136979.953125,120130.625,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0.0,16.8,16.3,7.2,7.1,0.02574201300740242,0.017501333728432655,,14.5,14.9,33.0,36.3,,0.067920363,0.0608802,42091.0,20.0,0.0,30.7,0.0,1.0
8,Chambers County, Alabama,34215.0,34030.0,34104.0,34143.0,33980.0,34007.0,33771.0,33758.0,33615.0,1017.0,19.722967185782053,20.843214136062457,8.821524906047202,10.328558281147888,4.426159573983363,5.240802890493261,3.607493205587612,0.23507978,0.207610404,0.029385,0.0296586,0.764009286,0.652489842,1.005460310004697,1.0579499500687173,0.17631500959396362,0.17766723036766052,0.675854368,0.860100246,0.528929505,0.533855325,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,327935.78832116787,270507.9227102804,18.90847619188084,16.50005631061468,28.581974029541016,23.49489402770996,84.02,86.898,11.316189765930176,13.211095809936523,64181.65625,74358.65625,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0.0,16.8,16.3,7.2,7.1,0.029288580641150475,0.029748624190688133,,16.1,16.4,33.0,36.3,,0.0,0.0,35560.0,22.4,0.0,34.4,1.0,0.0
9,Cherokee County, Alabama,25989.0,25994.0,25963.0,26025.0,25902.0,25739.0,25776.0,25815.0,26032.0,1019.0,0.30555325161640307,0.39833198231404826,0.13268637634390432,0.2211124003094359,3.5642523931318935,2.822199537318709,0.04600567762648419,0.153887585,0.19405418,0.0384719,0.0388108,0.654022237,0.698595048,1.191345451750509,1.0603189336221013,0.23082250356674194,0.1551831215620041,0.654022237,0.58216254,0.269303274,0.465730032,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167,242354.8712903226,174410.52911854102,18.90847619188084,16.50005631061468,27.422502517700195,16.684715270996094,84.02,86.898,24.97646141052246,18.51291275024414,108206.3515625,119297.21875,2.9476822818535977,2.543569610894678,33.481211465729324,32.910875735643216,0.0,16.8,16.3,7.2,7.1,0.03842459246516228,0.038414258509874344,,13.6,13.3,33.0,36.3,,0.0384719,0.0388108,39144.0,19.4,0.0,30.2,0.0,0.0
